usrID,logID,view,event,category,index,start,end,userSession,userID+session,session
187,hlp_2,,Data Formatting,help,3,0,1,1,187_1,1
187,log_2,,Visit Page ,logging,2,8,9,1,187_1,1
187,com_2,,Contact,communication,4,17,18,1,187_1,1
187,log_12,,Close Webpage/End of Activity,logging,2,0,1,2,187_2,2
187,log_2,,Visit Page ,logging,2,0,1,3,187_3,3
187,hlp_6,,Demo,help,3,2,3,3,187_3,3
187,dat_11,,Specify Column: location_target,data,0,10,14,3,187_3,3
187,dat_11,,Specify Column: location_target,data,0,15,18,3,187_3,3
187,vis_1,Matrix,Visualization Link,visualization,1,23,24,3,187_3,3
187,err,Matrix,Error Type,error,5,23,24,3,187_3,3
187,log_2,Matrix,Visit Page Matrix,logging,2,24,25,3,187_3,3
187,vis_34,Matrix,Zoom Slider,visualization,1,38,41,3,187_3,3
187,vis_34,Matrix,Zoom Slider,visualization,1,45,46,3,187_3,3
187,vis_36,Matrix,Re-Run button,visualization,1,45,47,3,187_3,3
187,vis_35,Matrix,Ordering Algorithm,visualization,1,47,50,3,187_3,3
187,vis_36,Matrix,Re-Run button,visualization,1,51,52,3,187_3,3
187,vis_35,Matrix,Ordering Algorithm,visualization,1,52,55,3,187_3,3
187,log_4,Matrix,Return to Data View,logging,2,58,59,3,187_3,3
187,vis_1,Map,Visualization Link,visualization,1,61,62,3,187_3,3
187,log_2,Map,Visit Page Map,logging,2,62,63,3,187_3,3
187,log_4,Map,Return to Data View,logging,2,77,78,3,187_3,3
187,bkm_10,,Bookmarks file imported,bookmarking,6,97,98,3,187_3,3
187,bkm_7,,bookmarks view option selected,bookmarking,6,100,101,3,187_3,3
187,com_3,,Consult Team,communication,4,103,104,3,187_3,3
187,com_4,,Report TechBug,communication,4,114,115,3,187_3,3
187,bkm_7,,bookmarks view option selected,bookmarking,6,203,205,3,187_3,3
187,bkm_10,,Bookmarks file imported,bookmarking,6,208,209,3,187_3,3
187,bkm_10,,Bookmarks file imported,bookmarking,6,211,212,3,187_3,3
187,bkm_9,,Bookmarks file exported,bookmarking,6,216,217,3,187_3,3
187,bkm_9,,Bookmarks file exported,bookmarking,6,231,232,3,187_3,3
187,com_3,,Consult Team,communication,4,233,234,3,187_3,3
187,log_12,Map,Close Webpage/End of Activity,logging,2,243,244,3,187_3,3
187,vis_1,Map,Visualization Link,visualization,1,301,302,3,187_3,3
187,log_2,,Visit Page ,logging,2,302,303,3,187_3,3
187,vis_32,Node-Link,Link,visualization,1,308,309,3,187_3,3
