usrID,logID,view,event,category,index,start,end,userSession
2461,dat_1,,New Network,data,0,0,1,1
2461,log_2,,Visit Page ,logging,2,134,135,1
2461,log_2,,Visit Page ,logging,2,147,148,1
2461,log_2,,Visit Page ,logging,2,366,367,1
2461,log_2,,Visit Page ,logging,2,369,370,1
2461,dat_1,,New Network,data,0,371,372,1
2461,dat_2_LT,,Upload new Link table,data,0,387,388,1
2461,dat_2,,upload data,data,0,404,405,1
2461,dat_2,,upload data,data,0,408,409,1
2461,dat_11,,Specify Column: target,data,0,423,424,1
2461,vis_1,,Visualization Link,visualization,1,459,460,1
2461,log_2,Map,Visit Page Map,logging,2,459,460,1
2461,log_2,,Visit Page ,logging,2,465,466,1
2461,dat_1,,New Network,data,0,472,473,1
2461,dat_2_LT,,Upload new Link table,data,0,482,483,1
2461,dat_2,,upload data,data,0,491,492,1
2461,dat_11,,Specify Column: target,data,0,496,497,1
2461,dat_2,,upload data,data,0,506,507,1
2461,vis_1,,Visualization Link,visualization,1,517,518,1
2461,log_2,Node-Link,Visit Page Node-Link,logging,2,518,519,1
2461,vis_32,Node-Link,Link,visualization,1,536,537,1
2461,vis_41,Node-Link,Zoom,visualization,1,538,540,1
2461,vis_30,Node-Link,Node,visualization,1,548,549,1
2461,vis_32,Node-Link,Link,visualization,1,548,550,1
2461,vis_31,Node-Link,Link_click,visualization,1,549,550,1
2461,vis_32,Node-Link,Link,visualization,1,551,554,1
2461,vis_30,Node-Link,Node,visualization,1,553,554,1
2461,vis_41,Node-Link,Zoom,visualization,1,564,568,1
2461,vis_30,Node-Link,Node,visualization,1,569,571,1
2461,vis_32,Node-Link,Link,visualization,1,571,574,1
2461,vis_30,Node-Link,Node,visualization,1,576,577,1
2461,vis_32,Node-Link,Link,visualization,1,577,579,1
2461,vis_30,Node-Link,Node,visualization,1,578,579,1
2461,vis_32,Node-Link,Link,visualization,1,578,579,1
2461,vis_30,Node-Link,Node,visualization,1,579,581,1
2461,vis_32,Node-Link,Link,visualization,1,581,583,1
2461,vis_30,Node-Link,Node,visualization,1,582,583,1
2461,vis_32,Node-Link,Link,visualization,1,583,584,1
2461,vis_30,Node-Link,Node,visualization,1,586,587,1
2461,vis_32,Node-Link,Link,visualization,1,600,601,1
2461,vis_30,Node-Link,Node,visualization,1,601,602,1
2461,vis_32,Node-Link,Link,visualization,1,602,603,1
2461,vis_30,Node-Link,Node,visualization,1,602,603,1
2461,vis_32,Node-Link,Link,visualization,1,604,606,1
2461,vis_30,Node-Link,Node,visualization,1,606,607,1
2461,vis_32,Node-Link,Link,visualization,1,608,609,1
2461,vis_41,Node-Link,Zoom,visualization,1,652,654,1
2461,vis_41,Node-Link,Zoom,visualization,1,656,659,1
2461,vis_41,Node-Link,Zoom,visualization,1,661,662,1
2461,vis_32,Node-Link,Link,visualization,1,664,665,1
2461,vis_30,Node-Link,Node,visualization,1,664,665,1
2461,vis_41,Node-Link,Zoom,visualization,1,667,669,1
2461,vis_30,Node-Link,Node,visualization,1,669,670,1
2461,vis_32,Node-Link,Link,visualization,1,670,671,1
2461,vis_30,Node-Link,Node,visualization,1,693,694,1
2461,vis_32,Node-Link,Link,visualization,1,694,697,1
2461,vis_30,Node-Link,Node,visualization,1,697,698,1
2461,vis_41,Node-Link,Zoom,visualization,1,737,739,1
2461,vis_32,Node-Link,Link,visualization,1,748,749,1
2461,vis_41,Node-Link,Zoom,visualization,1,757,758,1
2461,vis_32,Node-Link,Link,visualization,1,758,760,1
2461,vis_41,Node-Link,Zoom,visualization,1,759,761,1
2461,vis_32,Node-Link,Link,visualization,1,767,770,1
2461,vis_30,Node-Link,Node,visualization,1,774,775,1
2461,vis_9,Node-Link,Nodelink Labeling-Show All,visualization,1,781,782,1
2461,vis_9,Node-Link,Nodelink Labeling-Automatic/importance,visualization,1,785,786,1
2461,vis_9,Node-Link,Nodelink Labeling-Show All,visualization,1,788,789,1
2461,vis_30,Node-Link,Node,visualization,1,831,832,1
2461,vis_32,Node-Link,Link,visualization,1,833,834,1
2461,vis_41,Node-Link,Zoom,visualization,1,834,835,1
2461,vis_32,Node-Link,Link,visualization,1,835,836,1
2461,vis_30,Node-Link,Node,visualization,1,836,837,1
2461,vis_41,Node-Link,Zoom,visualization,1,843,845,1
2461,vis_30,Node-Link,Node,visualization,1,847,850,1
2461,vis_32,Node-Link,Link,visualization,1,850,851,1
2461,vis_32,Node-Link,Link,visualization,1,889,890,1
2461,vis_32,Node-Link,Link,visualization,1,891,892,1
2461,vis_30,Node-Link,Node,visualization,1,892,893,1
2461,vis_32,Node-Link,Link,visualization,1,894,895,1
2461,vis_30,Node-Link,Node,visualization,1,895,896,1
2461,vis_32,Node-Link,Link,visualization,1,897,898,1
2461,vis_30,Node-Link,Node,visualization,1,899,902,1
2461,vis_32,Node-Link,Link,visualization,1,934,935,1
2461,vis_30,Node-Link,Node,visualization,1,936,939,1
2461,vis_41,Node-Link,Zoom,visualization,1,944,945,1
2461,log_4,Node-Link,Return to Data View,logging,2,953,954,1
2461,log_2,,Visit Page ,logging,2,953,954,1
2461,vis_1,,Visualization Link,visualization,1,962,963,1
2461,log_2,Coordinated,Visit Page Coordinated,logging,2,964,967,1
2461,vis_35,Matrix,Ordering Algorithm,visualization,1,980,981,1
2461,vis_36,Matrix,Re-Run button,visualization,1,983,984,1
2461,vis_36,Matrix,Re-Run button,visualization,1,987,988,1
2461,vis_34,Matrix,Zoom Slider,visualization,1,989,992,1
2461,vis_30,Node-Link,Node,visualization,1,993,994,1
2461,vis_32,Node-Link,Link,visualization,1,999,1000,1
2461,vis_30,Node-Link,Node,visualization,1,999,1000,1
2461,vis_32,Node-Link,Link,visualization,1,1000,1001,1
2461,vis_30,Node-Link,Node,visualization,1,1000,1001,1
2461,vis_32,Node-Link,Link,visualization,1,1000,1001,1
2461,vis_30,Node-Link,Node,visualization,1,1000,1001,1
2461,vis_35,Matrix,Ordering Algorithm,visualization,1,1021,1022,1
2461,vis_1,Matrix,Visualization Link,visualization,1,1435,1436,1
2461,log_2,Timeline,Visit Page Timeline,logging,2,1436,1437,1
2461,vis_41,Timeline,Zoom,visualization,1,1439,1441,1
2461,vis_41,Timeline,Zoom,visualization,1,1445,1446,1
2461,log_4,Timeline,Return to Data View,logging,2,1448,1449,1
2461,log_2,,Visit Page ,logging,2,1449,1450,1
2461,dat_4,,x (delete),data,0,1453,1454,1
2461,vis_1,,Visualization Link,visualization,1,1457,1458,1
2461,log_2,Node-Link,Visit Page Node-Link,logging,2,1457,1458,1
2461,vis_30,Node-Link,Node,visualization,1,1469,1470,1
2461,vis_41,Node-Link,Zoom,visualization,1,1471,1473,1
